Date,Open,High,Low,Close,Adj Close,Volume
2013-01-11,185.611862,186.424469,184.416824,185.898666,125.802551,4058898
2013-01-14,184.340347,184.780121,183.317398,184.149139,124.618675,4364121
2013-01-15,182.896744,184.254303,182.017212,184.034424,124.540985,4364017
2013-01-16,183.556412,184.684509,182.934998,184.120453,124.599251,3099193
2013-01-17,185.325043,185.908218,184.741867,185.13385,125.285072,4060154
2013-01-18,185.497131,186.424469,185.277252,185.917786,125.815605,4769342
2013-01-22,185.812622,187.456985,185.478012,187.456985,126.857162,7502226
2013-01-23,194.550674,199.407272,194.416824,195.71701,132.44696,13106903
2013-01-24,194.942642,196.042068,194.149139,195.430206,132.252869,4651771
2013-01-25,195.458893,196.156784,195.152969,195.956024,132.608749,3513409
2013-01-28,195.841293,197.151047,195.305923,195.917786,132.58284,2953590
2013-01-29,195.353729,196.682602,194.684509,194.933075,131.916473,3783487
2013-01-30,194.732315,195.86998,194.254303,194.569794,131.670609,3136326
2013-01-31,194.378586,195.478012,194.034424,194.139572,131.379471,3233604
2013-02-01,195.650101,196.319305,194.875717,196.156784,132.744553,3525752
2013-02-04,195.210327,196.00383,194.617584,194.827911,131.845306,3335485
2013-02-05,195.325043,195.745697,193.604202,193.871887,131.198288,3804197
2013-02-06,191.577438,192.437866,190.783936,192.179733,130.600586,3790913
2013-02-07,191.797318,192.07457,189.942642,190.956024,129.768982,3218228
2013-02-08,191.175903,193.202682,190.898666,192.810699,131.029373,3026392
2013-02-11,192.141495,193.068832,190.965576,191.357559,130.04187,3080156
2013-02-12,191.214142,191.912048,190.267685,191.242828,129.963913,2575043
2013-02-13,191.826004,192.112808,190.793503,191.290634,129.996384,2269611
2013-02-14,190.946457,191.510513,190.497131,190.86998,129.710526,3445733
2013-02-15,191.185471,192.399612,191.032501,192.141495,130.574615,3794679
2013-02-19,191.778198,193.011475,191.414917,191.510513,130.145859,3136222
2013-02-20,191.797318,192.848953,190.114716,190.544937,129.489639,3886308
2013-02-21,189.894836,190.315491,189.397705,189.608032,128.852905,4103353
2013-02-22,190.468445,192.246658,190.095596,192.246658,130.646118,3250863
2013-02-25,192.801147,193.585083,188.824097,188.824097,128.320206,4021661
2013-02-26,189.894836,191.108994,189.139572,190.382416,129.379196,3547614
2013-02-27,190.143402,193.833649,189.86615,193.432129,131.451691,4377615
2013-02-28,193.288712,194.187378,191.959854,191.998093,130.477173,4904903
2013-03-01,191.826004,194.015289,190.592728,193.986618,131.828568,3460482
2013-03-04,193.680695,196.166351,193.642441,196.166351,133.309814,3863296
2013-03-05,196.806885,198.565964,196.644363,197.447418,134.18042,3982959
2013-03-06,197.92543,199.321228,197.571701,199.216064,135.382324,3760161
2013-03-07,199.13002,200.382416,199.082214,200.210327,136.057999,4063082
2013-03-08,200.621414,201.472275,200.219879,201.128113,136.681717,3870723
2013-03-11,200.803055,200.956024,199.847031,200.841293,136.486755,3189986
2013-03-12,200.191208,201.462708,199.894836,201.290634,136.792145,3756814
2013-03-13,200.956024,203.021027,200.544937,202.734222,137.773193,3510271
2013-03-14,202.820267,206.367111,202.820267,206.309753,140.203033,5758753
2013-03-15,205.908218,206.40535,204.024857,205.468445,139.631287,8295094
2013-03-18,203.537292,205.066925,203.288712,203.833649,138.520325,3144276
2013-03-19,204.713196,205.659653,202.514343,204.053543,138.669754,3345736
2013-03-20,205.315491,206.328873,204.875717,205.602295,139.72226,3157874
2013-03-21,203.59465,203.632889,200.86998,202.92543,137.903107,6098598
2013-03-22,202.877625,203.79541,202.313583,202.753342,137.786194,3170949
2013-03-25,203.193115,203.451248,200.812622,201.472275,136.915573,3391655
2013-03-26,202.456985,203.154877,202.198853,203.021027,137.968094,2406114
2013-03-27,201.682602,202.829834,200.860428,201.615677,137.013077,3371676
2013-03-28,200.602295,204.053543,200.516251,203.919693,138.578796,3922395
2013-04-01,203.441681,204.110901,201.959854,203.040146,137.981079,2243147
2013-04-02,203.556412,205.267685,202.265778,204.933075,139.267502,3260173
2013-04-03,204.894836,205.439774,203.27916,203.307846,138.16304,3272725
2013-04-04,203.412994,203.565964,200.803055,202.017212,137.285904,3880137
2013-04-05,199.904404,200.611862,197.265778,200.20076,136.051453,4338808
2013-04-08,199.875717,200.114716,198.212234,200.114716,135.993042,2459355
2013-04-09,200.344162,200.764816,199.435944,200.019119,135.92804,2695856
2013-04-10,202.543015,203.164429,201.214142,202.676865,137.734207,3686313
2013-04-11,202.198853,203.718933,201.577438,203.556412,138.331894,3823758
2013-04-12,201.520081,202.189301,200.554489,202.084137,137.331406,3311008
2013-04-15,201.185471,202.380493,200.057358,200.057358,135.954102,4412133
2013-04-16,201.567871,202.676865,200,202.676865,137.734207,2991037
2013-04-17,201.271515,201.806885,200.286804,200.449326,136.220428,3420211
2013-04-18,200.86998,201.00383,197.084137,198.040146,134.583176,6801092
2013-04-19,187.131927,187.858505,181.414917,181.644363,123.44101,19713962
2013-04-22,182.74379,182.963669,179.426392,179.569794,122.031212,10298288
2013-04-23,180.946457,184.082214,180.315491,183.183563,124.487015,6585721
2013-04-24,183.709366,184.034424,182.686417,183.27916,124.552017,3863819
2013-04-25,184.216064,186.587006,183.862335,185.420654,126.007294,4864841
2013-04-26,185.621414,186.147232,184.751434,185.764816,126.241158,3650854
2013-04-29,186.214142,190.898666,186.089859,190.391968,129.385681,6205290
2013-04-30,190.372849,193.680695,188.671127,193.632889,131.588104,7886735
2013-05-01,192.992355,193.27916,190.439774,190.850861,129.697571,5124459
2013-05-02,191.319305,193.527725,190.965576,193.489487,131.490692,4126575
2013-05-03,194.971313,196.290634,194.789673,195.516251,132.867981,4699364
2013-05-06,194.827911,195.019119,192.657745,193.862335,131.744049,5048519
2013-05-07,193.891006,194.770554,192.782028,194.674957,132.29628,3609746
2013-05-08,194.015289,195.841293,193.604202,195.812622,133.69313,3767378
2013-05-09,195.688339,195.984711,193.804977,194.302109,132.661804,3705246
2013-05-10,194.426392,195.53537,193.900574,195.478012,133.464691,3430043
2013-05-13,195.20076,195.478012,193.326965,193.565964,132.15921,3816226
2013-05-14,193.202682,194.713196,193.193115,194.273422,132.642242,3869886
2013-05-15,193.355637,194.722748,193.154877,194.378586,132.714066,4213393
2013-05-16,195.028687,197.504776,195.028687,195.688339,133.608292,4714322
2013-05-17,196.223709,200.286804,195.975143,199.273422,136.056046,5966489
2013-05-20,198.871887,199.952194,198.298279,198.470367,135.507767,3780767
2013-05-21,198.12619,200.267685,197.896744,199.474182,136.193085,3120113
2013-05-22,199.33078,200.908218,197.05545,197.887192,135.109589,5425393
2013-05-23,196.443588,199.435944,196.108994,197.093689,134.567764,5417339
2013-05-24,195.688339,197.351822,195.430206,196.673035,134.280609,3447407
2013-05-28,198.317398,199.416824,198.049713,198.642441,135.625259,4196029
2013-05-29,197.151047,199.254303,196.978973,198.776291,135.716614,3597612
2013-05-30,197.868073,201.711288,197.868073,200.152969,136.65654,4602086
2013-05-31,199.416824,202.657745,198.871887,198.871887,135.781876,5176654
2013-06-03,199.091782,200.812622,198.212234,199.761002,136.388947,3474812
2013-06-04,199.426392,199.808792,196.061188,197.122375,134.587387,3763822
2013-06-05,196.137665,197.217972,193.499039,193.824097,132.33548,4409308
2013-06-06,194.072662,195.219879,192.60994,194.837479,133.027405,3848652
2013-06-07,195.841293,197.27533,195.13385,197.27533,134.691772,3089256
2013-06-10,197.868073,197.877625,195.889099,196.00383,133.823715,2774306
2013-06-11,194.235184,196.892929,193.604202,195.009567,133.144867,2943862
2013-06-12,195.592728,196.20459,191.692154,192.351822,131.330276,3566651
2013-06-13,192.170166,195.411087,191.529633,194.808792,133.007828,3032877
2013-06-14,195,195.736145,192.934998,193.307846,131.982986,2933507
2013-06-17,194.493301,196.147232,193.642441,194.110901,132.531281,3368015
2013-06-18,194.091782,197.026764,193.94838,195.860428,133.725815,3428579
2013-06-19,195.449326,196.013382,193.049713,193.05928,131.813339,2977021
2013-06-20,191.845123,192.829834,188.604202,188.671127,128.81723,4722481
2013-06-21,189.770554,189.789673,185.028687,186.864243,127.583557,9324881
2013-06-24,185.458893,186.338425,182.92543,185.028687,126.330315,4556585
2013-06-25,186.72084,186.988525,184.655838,186.40535,127.270226,4023125
2013-06-26,187.351822,187.600388,185.946457,186.290634,127.191971,3472929
2013-06-27,187.428299,188.240921,186.701721,187.045883,127.707588,3675853
2013-06-28,183.298279,184.187378,180.124283,182.705551,124.744202,10518367
2013-07-01,183.699814,185.277252,182.715103,182.868073,124.855103,4646750
2013-07-02,182.39006,184.732315,181.892929,183.0784,124.998726,3825954
2013-07-03,182.581268,185.678772,182.131927,184.751434,126.141006,1958740
2013-07-05,185.936905,186.577438,183.891006,186.357559,127.237595,2516048
2013-07-08,186.998093,187.170166,186.05162,186.40535,127.270226,3083085
2013-07-09,183.441681,184.321228,182.39006,182.887192,124.868179,5443593
2013-07-10,183.087952,184.923523,182.858505,183.79541,125.488312,4071032
2013-07-11,185.258133,185.573608,184.139572,184.321228,125.84726,4369665
2013-07-12,184.579346,185.181641,183.164429,183.623322,125.370789,4701456
2013-07-15,183.957932,186.319305,183.250473,185.468445,126.630531,5935736
2013-07-16,185.506699,186.022949,184.206497,185.325043,126.532677,3917584
